property_id,location,size_sqft,num_rooms,age_years,condition,proximity_to_amenities_km,sale_price_usd
14105,New Joanna,1048,5,94,Poor,1.93,513789
14106,West Matthewbury,4182,2,32,Fair,4.74,1641647
14107,Port Rachaelhaven,3691,5,72,Good,8.31,1747965
14108,West Ashley,2082,7,19,Excellent,5.96,1721616
14109,South Justinchester,2762,6,92,Fair,9.45,1862237
14110,Beverlyfort,1672,7,21,Poor,0.36,856740
14111,New Hannah,3480,7,5,Fair,0.3,1399300
14112,Petersville,983,4,57,Excellent,5.59,496135
14113,East Sara,4380,8,31,Poor,1.77,611745
14114,Banksburgh,2520,1,100,Fair,5.96,1726617
14115,Pachecoside,2329,8,47,Fair,1.39,350980
14116,New Charlesstad,525,1,84,Good,5.34,1403582
14117,Lake Bethany,3180,5,80,Excellent,3.93,1535200
14118,Haleyside,3417,4,47,Poor,7.31,842430
14119,North Sarah,4453,8,50,Good,5.33,497417
14120,East Raymondland,1697,4,16,Fair,0.12,891913
14121,Williamsbury,2734,8,4,Excellent,9.94,1225076
14122,New Larry,3121,6,16,Poor,5.75,529862
14123,Malonemouth,4470,2,87,Fair,1.78,530157
14124,Smithhaven,3073,5,83,Fair,5.18,1189273
14125,Collinstown,4893,4,16,Fair,4.71,1849191
14126,Mooreview,2138,6,74,Fair,2.05,1635656
14127,North Matthewtown,2041,4,32,Excellent,0.74,153388
14128,New Christopher,1486,6,73,Good,9.59,1728921
14129,Herreraburgh,2921,6,36,Excellent,5.88,1609749
14130,South Chelsea,996,5,47,Good,6.23,555931
14131,New Deborah,2096,7,12,Excellent,1.87,701580
14132,Rebeccashire,4788,3,24,Poor,8.71,1519561
14133,Port Wendy,4629,3,80,Poor,7.09,731316
14134,Port Ivan,2813,3,9,Good,2.0,1888441
14135,Lucashaven,2533,9,76,Poor,8.47,1534063
14136,West Ronaldstad,3580,5,69,Fair,2.26,588629
14137,New Levi,3965,8,74,Poor,0.19,472391
14138,Lawrenceberg,589,7,35,Good,1.69,1261215
14139,Port Grant,2942,7,85,Good,7.13,539987
14140,Jacksonport,2638,1,81,Excellent,9.95,1849273
14141,Garcialand,2173,1,84,Excellent,8.81,981218
14142,Ryanburgh,1680,10,67,Excellent,5.45,1362917
14143,North Lisa,2925,8,96,Good,8.42,464872
14144,Jimeneztown,707,5,39,Poor,3.94,497307
14145,Lake Barbarafurt,736,10,96,Poor,5.46,1945598
14146,Johnsonland,3952,1,61,Fair,6.73,723048
14147,Janeland,1144,10,80,Fair,1.57,143195
14148,New Paige,3519,2,89,Fair,8.54,416946
14149,West Kennethville,4308,3,86,Excellent,6.68,413272
14150,North Vanessa,1709,7,85,Good,5.63,1790610
14151,Port Robert,4159,2,5,Poor,1.24,1009850
14152,Amyport,3629,10,90,Poor,2.4,820808
14153,Richardborough,1785,4,60,Excellent,8.94,1221001
14154,Stephensside,4138,6,8,Fair,4.01,736498
14155,Parkfort,3073,9,90,Good,5.28,769481
14156,Port Laurie,1382,2,63,Good,2.25,588938
14157,Stevenschester,2740,6,30,Poor,3.67,1254660
14158,Lake Robertborough,4235,2,2,Fair,2.61,1746852
14159,Daniellebury,2760,5,85,Fair,4.93,1400982
14160,Grantshire,2120,2,23,Excellent,3.62,1454226
14161,South Michaelfort,4213,9,10,Poor,6.19,690173
14162,Charleschester,2832,6,45,Excellent,1.34,1504728
14163,Deannachester,1834,10,51,Excellent,0.34,524107
14164,Huynhbury,1552,5,92,Fair,1.57,469350
14165,South Judith,3144,1,3,Poor,9.87,333354
14166,Robertland,638,1,13,Good,6.29,214717
14167,Michaelmouth,1515,5,26,Poor,2.87,1671854
14168,Chavezfort,929,9,95,Poor,3.91,364117
14169,Annaview,3174,10,75,Poor,1.93,1500020
14170,Williamchester,4408,7,75,Good,5.58,1247076
14171,New Teresahaven,3521,6,32,Fair,5.14,602226
14172,South Kelly,1661,7,95,Good,7.91,1047576
14173,East Katherine,3082,1,60,Good,3.74,1319590
14174,Johnsonberg,3572,9,51,Excellent,9.59,1081963
14175,Josephtown,708,5,43,Excellent,3.83,1840581
14176,West Marissa,4057,7,78,Excellent,5.14,1883659
14177,Crawfordton,3153,10,65,Poor,6.88,1551836
14178,North Valerie,3740,6,35,Poor,8.93,809220
14179,New Marvin,1958,5,44,Fair,4.89,1937562
14180,South Katherinetown,3175,5,58,Excellent,3.3,247314
14181,South Jennifer,782,10,51,Poor,9.59,355071
14182,Port Evan,2817,6,20,Good,0.81,1054718
14183,Aaronhaven,3154,7,8,Fair,3.6,1582426
14184,West Jasonview,822,10,89,Poor,3.07,1261559
14185,Lake Ericside,4691,8,80,Poor,5.74,201865
14186,New Jessicamouth,957,8,5,Excellent,2.28,862322
14187,Micheletown,1580,6,83,Fair,9.21,1199766
14188,Frankville,4568,6,40,Good,8.08,335878
14189,Hardintown,1023,7,20,Good,1.86,127533
14190,Charleshaven,1056,2,3,Poor,2.31,1387307
14191,New Krystal,1646,3,55,Excellent,8.23,1131094
14192,East Davidport,1741,4,68,Poor,1.96,1857803
14193,East Ericastad,1337,5,15,Fair,5.81,1302629
14194,Hunterton,4782,1,1,Good,0.11,716380
14195,South Nathanielstad,1838,1,100,Excellent,5.28,880573
14196,Luisport,2425,2,91,Good,4.96,983614
14197,Lewisberg,1252,6,53,Excellent,4.67,1350398
14198,North Ginafort,3451,3,75,Fair,8.72,1158820
14199,Port Matthewton,3425,3,53,Good,4.51,738376
14200,Vickifort,3270,10,13,Poor,9.07,711619
14201,New Jennifer,1164,1,24,Poor,2.23,328027
14202,Darrellshire,3880,5,70,Fair,3.94,610693
14203,Smithtown,3314,1,56,Excellent,3.87,884119
14204,Reillyville,1069,2,98,Excellent,1.68,988280
14205,Johnsland,4534,6,31,Good,1.07,624261
14206,Jamesland,3781,1,86,Fair,2.63,674236
14207,Graytown,4965,8,92,Excellent,7.2,1337823
14208,West Kelly,1009,7,83,Good,2.97,511391
14209,Nicholasmouth,4798,3,36,Poor,8.84,144538
14210,New Christopherborough,3910,10,28,Fair,6.15,514040
14211,Port Hannah,3743,5,41,Poor,5.63,1019473
14212,Delacruzmouth,1769,3,100,Poor,4.03,251506
14213,Stephenstad,4990,1,61,Good,1.04,980624
14214,Philliptown,1232,2,9,Fair,6.71,1136892
14215,Hawkinsview,2197,3,89,Poor,4.09,1841701
14216,South Andrew,4174,2,11,Poor,2.45,1237740
14217,East Monica,1803,8,2,Fair,2.73,846255
14218,Port Crystal,1444,3,91,Excellent,7.89,172438
14219,Chapmanfurt,2636,3,16,Poor,2.17,211237
14220,New Janetville,2362,1,95,Poor,8.38,200343
14221,Toddhaven,2460,10,29,Excellent,6.48,1632386
14222,West Danieltown,962,5,39,Excellent,8.5,1564194
14223,South Tina,698,4,56,Fair,2.1,306744
14224,Aliciaview,929,5,58,Good,2.62,572323
14225,Danielfurt,2347,3,88,Excellent,3.46,879413
14226,New Nicholemouth,4421,3,6,Poor,4.04,383963
14227,Port Fredborough,847,1,35,Fair,3.4,1711732
14228,New Deborahport,845,9,60,Excellent,7.64,1995824
14229,Jasonland,2294,3,92,Poor,6.32,725085
14230,North Kylie,2405,5,17,Excellent,3.53,1796620
14231,Victoriamouth,1750,2,85,Fair,7.86,633238
14232,Marietown,1627,10,73,Poor,5.15,938005
14233,South Jacobfurt,4600,9,6,Excellent,4.48,234481
14234,Harringtonside,3117,6,20,Excellent,4.61,1752928
14235,Andersonbury,3145,8,24,Excellent,0.59,360403
14236,South Daniellechester,3674,8,100,Excellent,9.86,1412130
14237,Seanhaven,3742,9,66,Poor,8.88,1120168
14238,South Heidi,657,8,69,Poor,9.4,465516
14239,Danielton,4679,4,12,Excellent,7.38,590979
14240,Coryfurt,2872,5,83,Poor,5.69,818707
14241,Gibsonfurt,4532,2,27,Poor,6.55,1606170
14242,Obrienshire,692,4,72,Poor,7.9,1508103
14243,Lake David,3899,8,91,Good,8.93,393982
14244,West Monica,1056,3,27,Excellent,2.38,1052560
14245,Mendozamouth,828,4,57,Excellent,4.97,1192329
14246,New Robertmouth,2139,1,17,Excellent,7.23,1616137
14247,Kimberlyshire,794,8,72,Excellent,2.94,662292
14248,Port Davidport,2210,4,76,Excellent,7.34,1935127
14249,Josephtown,2380,6,69,Poor,5.31,318565
14250,New Janet,4526,8,14,Excellent,8.09,1121977
14251,Rachelborough,558,2,71,Poor,2.73,857519
14252,South Mary,3362,4,62,Excellent,6.19,1002912
14253,Powellview,1160,7,50,Poor,2.77,1190089
14254,East Emilyfurt,3515,2,31,Good,4.43,665832
14255,Adamsside,4670,9,21,Good,5.17,595058
14256,Randallshire,1844,8,19,Excellent,8.9,216149
14257,Morrisontown,3753,8,83,Fair,1.97,605595
14258,Holmesbury,2243,5,12,Poor,2.03,142882
14259,West Davidbury,1747,10,6,Excellent,3.46,1121173
14260,Breannaport,4892,8,67,Good,9.97,1156345
14261,Lake Juanport,560,9,95,Fair,5.26,970556
14262,Stevenburgh,2805,10,11,Poor,9.83,1500314
14263,Brownberg,2676,6,93,Excellent,9.15,1343934
14264,Kevinmouth,3566,4,35,Good,6.67,818275
14265,South Ann,4685,6,33,Poor,6.1,186243
14266,North Carolynview,3681,3,5,Poor,1.23,1474711
14267,Wilcoxburgh,1809,6,76,Good,6.95,1307173
14268,Ramirezton,2151,9,27,Fair,8.74,1412132
14269,Stewartland,2599,6,2,Excellent,4.88,311794
14270,New David,3240,4,52,Excellent,1.88,996725
14271,Patricktown,2103,6,100,Fair,1.86,263186
14272,South Amy,3179,6,72,Good,1.68,1557541
14273,East Leehaven,2632,10,87,Good,6.97,1897106
14274,Lake Rebeccaside,3716,10,34,Fair,8.25,1728372
14275,Amandafort,1476,6,69,Poor,5.52,686690
14276,Smithfort,2837,2,22,Excellent,2.23,1414968
14277,Anthonyborough,4199,6,100,Good,1.3,788858
14278,Port Leah,736,5,61,Poor,8.1,397482
14279,West Phillip,4149,2,97,Fair,5.79,1134014
14280,Monroefort,4692,5,16,Fair,2.26,1002278
14281,Kerrifurt,3823,4,85,Poor,5.79,542124
14282,North Kathryn,2176,7,10,Poor,2.46,1488379
14283,Stricklandland,2014,1,32,Excellent,7.68,169814
14284,Whitechester,1423,5,64,Good,0.59,860906
14285,Navarrohaven,841,4,36,Poor,2.33,1107503
14286,Jonesbury,3674,9,49,Excellent,6.52,1526815
14287,Port Anna,1374,8,30,Fair,2.0,1443729
14288,Port Amanda,2184,3,37,Poor,1.37,1295167
14289,North Sheena,2139,5,50,Excellent,7.86,958440
14290,Lake Lauren,2946,4,22,Fair,7.66,670879
14291,West Gail,2255,1,57,Fair,9.69,1671842
14292,Turnerview,2985,9,100,Excellent,1.89,1117515
14293,Sandersview,3456,9,60,Excellent,7.27,302852
14294,Chavezmouth,4299,5,11,Fair,9.49,980970
14295,South Kenneth,945,9,32,Good,8.91,205557
14296,Port Jonathan,2382,7,99,Fair,1.59,1733624
14297,Justinberg,2567,1,20,Good,6.03,1700204
14298,Lake Stevenburgh,2276,7,44,Poor,4.9,1125101
14299,New Deniseland,4686,5,38,Good,6.88,238062
14300,Port Amanda,695,2,98,Excellent,7.26,1400610
14301,West Samantha,3038,5,49,Excellent,6.34,1279866
14302,New Albert,601,5,87,Fair,0.52,1431494
14303,Port Emilyburgh,2272,3,31,Good,5.96,1651845
14304,West Johnfurt,1982,6,29,Poor,3.32,1433058
14305,Anthonystad,3235,1,6,Poor,8.52,106777
14306,Warrenchester,2190,10,63,Excellent,6.02,521439
14307,North Saraburgh,4592,7,16,Good,6.32,1297794
14308,East Christopher,3683,10,60,Fair,4.96,1830492
14309,Deanport,3181,4,83,Excellent,3.86,1160377
14310,West Patriciaville,4250,4,27,Good,2.54,367364
14311,Danamouth,3701,8,8,Fair,0.13,235596
14312,Heatherberg,1853,6,17,Excellent,5.65,1426480
14313,Hendersonchester,4527,8,94,Excellent,7.2,1360762
14314,Lake Lisafort,4433,10,100,Poor,9.42,1712147
14315,Olsenshire,2837,1,43,Excellent,5.37,1519398
14316,Port John,2535,2,55,Good,5.06,190457
14317,Port Mark,1136,6,72,Poor,3.75,1307435
14318,Rebeccatown,1378,6,99,Fair,2.75,257944
14319,New Josephmouth,502,1,49,Poor,0.65,904183
14320,Longfurt,755,9,49,Good,5.56,1828019
14321,South Mistyburgh,909,9,12,Excellent,6.77,327740
14322,Brianchester,591,1,91,Fair,5.39,220682
14323,Cameronborough,2746,7,36,Good,8.41,761403
14324,New Kurtfort,500,4,50,Fair,7.09,997086
14325,Lake Henry,2985,10,77,Poor,2.73,1636822
14326,Richardsonberg,4145,6,45,Good,5.75,1347674
14327,West Cynthia,3624,9,50,Good,6.12,615979
14328,Woodstad,1806,5,14,Excellent,3.76,267628
14329,Rubenland,1296,6,32,Excellent,0.46,1467872
14330,Port Donna,938,5,21,Excellent,7.64,1156632
14331,East Kathleenside,3515,6,86,Good,4.66,1570619
14332,Joanchester,2263,1,50,Fair,3.15,526014
14333,Leonardchester,2062,6,53,Good,7.78,233041
14334,Kevinton,3966,3,82,Poor,7.89,129876
14335,Port Carolynhaven,3554,10,93,Poor,2.46,100903
14336,Lake Valerie,1123,7,81,Fair,0.67,715721
14337,West Erinmouth,2793,6,82,Fair,8.19,1169112
14338,West Nancy,3920,4,7,Excellent,5.89,1893279
14339,Margaretmouth,683,8,40,Fair,4.07,1513649
14340,Martinezside,2936,1,29,Fair,7.2,1533427
14341,Draketown,786,5,24,Fair,6.84,1672668
14342,Steelehaven,1483,8,95,Good,4.05,1576862
14343,Port Katherinehaven,2974,7,72,Poor,7.81,1017282
14344,Tanyamouth,1661,9,21,Excellent,0.74,1858482
14345,Melaniebury,2652,1,92,Fair,0.62,254134
14346,Kimmouth,4243,10,1,Good,7.46,303302
14347,Christinehaven,2176,9,26,Excellent,1.24,1486476
14348,Andrewside,1485,6,28,Excellent,2.38,1992019
14349,Lake Jorge,748,7,92,Fair,4.62,524169
14350,Emilymouth,4403,9,0,Excellent,1.35,965727
14351,Robertstad,1930,4,2,Fair,1.91,1906834
14352,East Briantown,617,6,76,Excellent,9.05,1066703
14353,Rodriguezstad,1422,1,68,Poor,5.37,1162428
14354,Robinsonmouth,1205,6,76,Excellent,9.26,964648
14355,West John,2423,2,100,Poor,1.56,669822
14356,East Davidside,4229,9,99,Excellent,9.22,829568
14357,Nicholasbury,2737,4,68,Fair,5.92,375176
14358,Josephberg,2712,5,78,Poor,8.39,1302739
14359,Lake Luketown,684,5,26,Excellent,2.41,315756
14360,New Veronicaborough,4429,1,75,Good,5.5,1513144
14361,New Michaelton,1018,3,51,Good,9.68,882218
14362,Castrobury,1755,8,14,Poor,9.61,1169814
14363,Port Matthewborough,2265,6,42,Fair,0.89,814300
14364,Port Benjaminview,1033,6,62,Excellent,3.89,1203920
14365,East Julie,3756,5,39,Excellent,9.97,1169128
14366,South Douglas,3591,8,37,Fair,0.48,1949777
14367,Erinstad,744,1,28,Excellent,2.16,404589
14368,Sheilafurt,804,2,94,Fair,5.02,1821684
14369,New Kevin,4574,5,33,Fair,3.35,604541
14370,Watsonstad,4042,3,16,Excellent,5.6,1626777
14371,Paynebury,4315,10,70,Good,1.77,1518891
14372,New John,3878,6,67,Excellent,3.46,1320253
14373,Jaredtown,1933,1,12,Good,8.89,1838064
14374,Christopherside,608,4,82,Excellent,3.67,1152613
14375,Kathleenside,860,4,99,Excellent,9.22,817858
14376,Schmidtburgh,1016,7,15,Excellent,5.95,1532918
14377,Lake Meghanmouth,2800,10,65,Fair,8.77,1348719
14378,Whitehaven,2806,4,39,Fair,4.93,670616
14379,New Sean,4425,7,51,Fair,1.63,1832860
14380,North Evelyn,2160,9,88,Poor,5.42,693374
14381,New Carriechester,2689,4,87,Excellent,5.99,1854813
14382,Crystalshire,699,5,23,Good,3.91,210346
14383,Richardtown,2727,1,74,Excellent,8.28,651946
14384,Molinamouth,2040,3,64,Excellent,4.2,1029196
14385,Mooremouth,2423,2,89,Poor,3.41,651050
14386,Bowmantown,4169,2,93,Poor,9.7,874655
14387,East Seth,515,1,83,Fair,8.48,1718341
14388,Kellymouth,861,5,22,Good,2.73,402864
14389,Brianshire,4066,6,1,Excellent,9.12,271009
14390,Lake Davidfort,4502,5,14,Fair,3.54,613181
14391,Oliviaberg,2396,10,6,Good,7.82,268547
14392,West Richardshire,887,9,62,Fair,7.47,431201
14393,South Tinaborough,2847,1,16,Poor,7.12,1019324
14394,Lake Raymondview,3482,5,22,Good,8.93,813693
14395,Timothyfort,1224,7,84,Fair,9.44,127485
14396,New Gary,3508,1,68,Excellent,4.26,926441
14397,West Crystal,4237,7,59,Poor,0.46,1150638
14398,Makaylaview,4370,6,14,Good,8.03,1611547
14399,Lake Timville,4961,4,95,Fair,9.2,569979
14400,Millerside,1842,5,99,Fair,2.39,1529513
14401,North Carloston,3557,10,10,Poor,1.6,516103
14402,Port Raymond,3541,4,52,Fair,3.04,1783643
14403,New Erin,4929,1,36,Poor,2.1,1999020
14404,Lake Ralphview,1693,10,67,Poor,3.65,859411
14405,South Christopher,3127,7,66,Good,1.27,1370088
14406,Perrychester,3340,7,83,Excellent,4.77,1671315
14407,Timothytown,3834,7,97,Excellent,7.87,551765
14408,Bensonbury,1925,4,62,Excellent,6.12,1260389
14409,Ianmouth,3791,5,70,Good,8.92,482931
14410,Richardsontown,3548,10,86,Excellent,3.27,970522
14411,North Stephanie,4329,2,77,Poor,8.16,1370534
14412,North Denise,3346,7,68,Fair,1.29,308868
14413,Lake Paulhaven,2895,7,29,Excellent,9.42,541675
14414,East Christopher,1709,1,28,Fair,3.39,1559855
14415,New Sarah,4551,6,82,Fair,5.91,283868
14416,Port Stephanieport,4942,6,62,Poor,0.33,1927918
14417,Port Joannafurt,3840,8,29,Poor,1.66,672711
14418,Jasonton,3451,8,98,Poor,5.66,802581
14419,Johnsonport,4036,4,23,Poor,1.28,189348
14420,New Meredith,1208,10,3,Poor,0.32,697014
14421,North Raymond,2574,1,23,Excellent,0.88,1770828
14422,East David,1627,5,45,Good,4.03,960224
14423,Patrickview,3226,6,26,Poor,1.19,403175
14424,Thomaston,3438,6,42,Poor,6.87,1515712
14425,Williamsfurt,4322,5,29,Fair,3.87,1149526
14426,South Shawnbury,4192,4,78,Good,1.04,1342460
14427,Velezhaven,4917,7,53,Poor,4.3,1554856
14428,North Jonathan,1845,3,40,Poor,9.3,1798824
14429,North Brianburgh,850,4,96,Excellent,1.89,883440
14430,New Donnafort,3313,4,85,Fair,0.41,316536
14431,Lake Danielville,4648,2,36,Excellent,4.01,1610319
14432,Brownstad,1688,10,0,Poor,4.67,1631221
14433,Nelsonchester,3298,4,22,Excellent,3.13,699582
14434,Amberstad,4925,2,89,Good,9.2,1357338
14435,Avilamouth,1806,3,59,Poor,8.79,572020
14436,East Lindabury,1642,2,68,Excellent,0.5,292434
14437,Fullermouth,2186,1,52,Good,6.14,1147422
14438,Kaylaland,3746,9,42,Fair,3.9,571977
14439,Port Brandyshire,1169,2,87,Fair,3.29,1479001
14440,Lake Makayla,3932,2,97,Good,9.45,1506739
14441,Morenoside,1416,1,53,Good,3.82,1736649
14442,Edwardsborough,4607,4,5,Good,3.98,1316057
14443,New Adammouth,4956,9,63,Poor,4.72,1129284
14444,East Joseph,843,8,35,Excellent,2.46,1716167
14445,North Joseph,4756,8,9,Poor,4.42,427452
14446,North Kristin,1350,4,53,Poor,6.16,1165365
14447,North Andrewfurt,533,9,68,Excellent,1.13,1454136
14448,Baileyview,2586,1,66,Poor,7.82,972441
14449,Reedchester,1849,1,10,Excellent,6.65,1279762
14450,Kristyland,2357,8,80,Good,9.93,1586720
14451,Clarkberg,3243,8,9,Good,0.16,299733
14452,Christopherfort,4507,9,29,Good,9.25,1426160
14453,Port Valerie,1457,10,36,Excellent,2.66,1689941
14454,North James,3166,9,52,Excellent,4.21,1959044
14455,Williamland,3558,2,72,Excellent,6.43,911110
14456,Solisburgh,4992,10,66,Fair,9.6,1173247
14457,Fryebury,3735,7,35,Excellent,2.39,1889003
14458,New Katieton,4785,9,11,Excellent,9.2,1759527
14459,Angelatown,3717,8,79,Fair,3.26,1323274
14460,Gilmoreland,2294,1,97,Good,7.38,752153
14461,East Kelseyhaven,3376,7,70,Excellent,4.12,1583543
14462,West Kevinbury,3842,7,43,Fair,7.03,963213
14463,South Tinamouth,1371,7,47,Excellent,9.15,699257
14464,Martinezville,2349,9,25,Excellent,8.31,1497043
14465,South Daniel,4216,9,67,Poor,2.18,584186
14466,Blacktown,1775,5,73,Excellent,7.06,1970892
14467,Port Donnamouth,2042,4,29,Fair,1.34,1173129
14468,Mcculloughbury,504,4,12,Poor,1.22,1698164
14469,Davidmouth,4632,2,86,Good,5.85,1809776
14470,South Timothy,1383,7,83,Excellent,4.4,524115
14471,Wilsontown,4556,6,62,Good,2.41,906967
14472,Hubbardfurt,1682,1,43,Good,5.15,1727969
14473,Foxchester,1091,10,81,Excellent,6.92,151542
14474,Robertport,3011,9,7,Poor,2.78,390530
14475,West Thomasbury,2481,4,80,Fair,2.46,945097
14476,Nancyport,3826,4,1,Excellent,6.93,1721297
14477,Dunnmouth,2981,9,94,Good,9.0,1815889
14478,Lake Steven,2214,2,74,Poor,0.98,1211923
14479,West Gerald,4939,3,42,Excellent,5.83,327151
14480,Wallacefurt,1291,8,52,Fair,3.65,887571
14481,Lovebury,2064,3,80,Poor,4.49,289944
14482,Christopherfurt,692,5,10,Poor,7.23,191616
14483,East Jessicabury,632,10,33,Excellent,0.64,1672670
14484,Singhtown,754,1,71,Good,1.75,342033
14485,West Ericatown,2923,2,68,Excellent,3.12,386605
14486,Jenniferton,1491,5,2,Fair,5.08,1510321
14487,Flynnland,2196,1,84,Good,7.98,1031045
14488,Dawnville,2021,6,9,Good,7.2,728712
14489,Chandlerbury,1084,5,75,Excellent,7.21,615770
14490,East Brian,1049,4,27,Fair,6.13,1836693
14491,Tonyfort,2576,10,79,Fair,9.64,960087
14492,West Jennifer,4207,4,35,Poor,9.37,532573
14493,Jonesland,1474,5,25,Excellent,7.57,1312111
14494,Daniellestad,3956,7,37,Excellent,4.52,647684
14495,East Linda,3428,10,76,Good,7.24,1218679
14496,Christopherberg,3801,9,30,Poor,2.81,547542
14497,South Jacobhaven,586,10,67,Excellent,0.23,1686484
14498,West Jenniferchester,2959,9,95,Excellent,2.09,1254992
14499,Brownborough,3311,5,94,Poor,1.85,353165
14500,New Amandastad,3676,8,61,Fair,3.12,1224235
14501,Lake Alejandraview,3571,4,10,Good,8.25,199302
14502,West Lisa,2207,9,29,Fair,4.76,933818
14503,South John,2988,5,96,Good,2.22,1660105
14504,Rosehaven,4010,4,32,Poor,5.51,669589
14505,Ramosbury,4419,10,38,Fair,3.44,852236
14506,Tonyport,843,6,30,Fair,2.93,1280604
14507,Clintonchester,4525,4,72,Excellent,1.12,1625976
14508,Hughesville,758,8,14,Fair,6.01,848987
14509,Mcgeebury,4595,3,43,Fair,9.74,1742434
14510,New Richardfort,3118,6,84,Poor,9.07,472597
14511,Davidborough,3379,9,99,Good,4.77,264591
14512,South Allison,754,1,76,Fair,2.45,883043
14513,Alexandratown,2595,2,27,Fair,7.37,953016
14514,New Melinda,4379,6,82,Excellent,6.64,644034
14515,South Emilyside,3643,4,52,Fair,1.35,755206
14516,New Larryview,4915,6,63,Excellent,2.72,1628280
14517,South Donald,1302,9,45,Fair,7.34,488181
14518,Bullockbury,3962,5,29,Excellent,7.57,1906659
14519,Port Sandymouth,3375,10,45,Excellent,9.09,373288
14520,East Ellenside,4516,7,79,Fair,3.11,1180597
14521,Longfurt,723,3,33,Excellent,3.99,600806
14522,West Adrian,3612,1,55,Good,5.69,137642
14523,New Scottview,816,1,39,Good,9.95,1810337
14524,Samanthamouth,4493,4,40,Fair,3.54,663966
14525,Petersonburgh,1211,3,61,Good,2.41,507450
14526,West Richard,4390,4,45,Excellent,3.12,151962
14527,Blackmouth,2565,1,23,Fair,1.77,1146392
14528,South Brittanyland,4954,3,90,Fair,0.38,863633
14529,Woodmouth,1254,1,54,Poor,6.71,1075078
14530,East Nathanberg,1179,2,92,Good,9.3,1372677
14531,Markmouth,2510,10,20,Good,3.86,1377440
14532,Lake Conniemouth,1270,3,99,Fair,9.08,1347479
14533,Lake Andrewmouth,4224,7,15,Fair,8.12,768514
14534,Feliciahaven,3611,9,96,Fair,1.4,1261850
14535,South Robertport,3263,7,81,Good,2.63,1255841
14536,Holmesville,2477,1,80,Poor,7.82,1208946
14537,New Elizabeth,4344,2,24,Excellent,2.68,583642
14538,East Stephenton,781,8,27,Good,1.75,887491
14539,Nicholsbury,3144,4,97,Poor,7.43,540507
14540,West Catherine,3037,9,70,Good,1.22,183063
14541,Lake Samantha,4196,6,85,Good,1.2,884136
14542,West Michael,2274,6,61,Fair,0.33,973498
14543,Margaretside,3863,6,96,Fair,9.83,1140229
14544,South Moniqueborough,1277,6,79,Poor,4.3,1694354
14545,Lindsayport,584,6,51,Excellent,4.93,928112
14546,South Rodneystad,1551,1,0,Excellent,3.97,1131190
14547,Richardview,731,6,18,Good,7.07,879338
14548,North Deannashire,4647,2,1,Fair,6.2,1668868
14549,North Destinyport,4140,9,39,Good,8.61,466503
14550,Linshire,1066,2,14,Good,9.69,497982
14551,Lake Garyshire,4612,8,41,Good,10.0,555547
14552,Port Lawrence,1984,7,43,Excellent,3.78,1068453
14553,Juantown,4294,2,82,Good,7.8,289227
14554,East Stephenland,2750,5,67,Fair,2.33,786964
14555,South Tina,3679,3,31,Poor,0.27,1258883
14556,West Paulhaven,4888,7,96,Fair,3.04,947634
14557,Jamestown,899,7,6,Fair,8.04,1058155
14558,Lake Shannonview,2574,3,14,Good,5.67,688172
14559,Hudsonview,1463,5,85,Excellent,2.74,588482
14560,New Aaronborough,4733,5,76,Fair,8.05,1845198
14561,Port Leahside,4523,4,12,Poor,5.41,1922314
14562,East Ashlee,1924,7,89,Poor,1.1,409898
14563,Port Richardville,4200,8,100,Excellent,1.56,1732641
14564,Nguyenport,2903,8,52,Fair,2.43,954410
14565,East Heatherbury,1833,1,37,Fair,4.63,178817
14566,Fishermouth,826,5,96,Fair,3.88,1012025
14567,Port Robert,2878,2,55,Good,8.22,305882
14568,Angelaberg,3214,2,28,Fair,7.8,212196
14569,East Johnfurt,3995,1,15,Excellent,7.23,1125190
14570,Robertchester,1398,9,23,Poor,4.37,1453582
14571,North Angelastad,1768,1,8,Good,7.85,1435865
14572,Lake Mistyhaven,1129,1,94,Good,1.94,819470
14573,North Hollytown,2131,3,19,Poor,4.99,1518845
14574,West Sarahmouth,4449,7,68,Excellent,3.82,1229670
14575,New Teresa,4483,5,31,Poor,2.89,1587318
14576,Sotoberg,2540,10,83,Poor,3.88,264207
14577,Port Yolandatown,546,2,28,Fair,5.24,300416
14578,Jonesside,3672,4,92,Fair,7.04,582450
14579,Port Rogerburgh,1946,6,10,Good,3.99,705863
14580,East Morgan,3586,10,0,Excellent,8.82,1166373
14581,Grayfurt,859,8,90,Poor,6.72,1911561
14582,North Michael,2976,5,78,Poor,2.24,187471
14583,West Melissaland,1996,9,6,Excellent,9.95,900375
14584,South Aaronberg,2330,10,82,Fair,9.86,834546
14585,Grossburgh,3285,6,50,Poor,0.51,324381
14586,Melindaberg,4541,7,75,Excellent,7.73,1235463
14587,Robinsonside,2373,5,18,Good,0.68,1285777
14588,West Brandy,4142,3,75,Poor,0.52,1232066
14589,Gonzalezshire,1451,6,40,Good,6.44,795922
14590,Newmanview,1331,3,14,Fair,7.94,1148007
14591,Michaelland,1847,8,17,Fair,5.2,1186236
14592,New Donaldbury,1640,6,81,Poor,6.94,1895364
14593,West Michael,1581,4,34,Poor,0.78,466153
14594,Stanleyberg,693,2,87,Fair,3.76,1262636
14595,West Ricardo,4088,8,83,Poor,7.47,1157163
14596,Lake Zachary,4564,8,78,Excellent,6.01,1538230
